product_id,code,name_short_en,product_level,top_parent_id,product_id_hierarchy
956,5721,Propellent powders and other prepared explosives,4,6,6.134.956
957,5722,"Fuses, caps, igniters, detonators",4,6,6.134.957
958,5723,Pyrotechnic articles,4,6,6.134.958
959,5821,Phenoplasts,4,6,6.135.959
960,5822,Aminoplasts,4,6,6.135.960
961,5823,Alkyds and other polyesters,4,6,6.135.961
962,5824,Polyamides,4,6,6.135.962
963,5825,Polyurethanes,4,6,6.135.963
964,5826,Epoxide resins,4,6,6.135.964
965,5827,Silicones,4,6,6.135.965
966,5828,"Ion exchangers of the condensation, polycondensation etc",4,6,6.135.966
967,5829,"Other condensation, polycodensation or polyaddition products",4,6,6.135.967
968,5831,Polyethylene,4,6,6.135.968
969,5832,Polypropylene,4,6,6.135.969
970,5833,Polystyrene and its copolymers,4,6,6.135.970
971,5834,Polyvinyl chloride,4,6,6.135.971
972,5835,Copolymers of vinyl chloride and vinyl acetate,4,6,6.135.972
973,5836,Acrylic and methaacrylic polymers; acrylo-methacrylic copolymers,4,6,6.135.973
974,5837,Polyvinyl acetate,4,6,6.135.974
975,5838,Ion exchangers of the polymerization or copolymerization type,4,6,6.135.975
976,5839,Other polymerization and copolymarization products,4,6,6.135.976
977,5841,Regenerated cellulose,4,6,6.135.977
978,5842,Cellulose nitrates,4,6,6.135.978
979,5843,Cellulose acetates,4,6,6.135.979
980,5849,Other chemical derivatives of cellulose; vulcanized fibre,4,6,6.135.980
981,5851,Modified natural resins etc; derivatives of natural rubber,4,6,6.135.981
982,5852,"Other artificial plastic materials, nes",4,6,6.135.982
983,5911,"Insecticides, for sale by retail or as preparations",4,6,6.136.983
984,5912,"Fungicides, for sale by retail or as preparation",4,6,6.136.984
985,5913,"Herbicides, for sale by retail or as preparation",4,6,6.136.985
986,5914,"Disinfectants, etc, for sale by retail or as preparation",4,6,6.136.986
987,5921,"Starches, insulin and wheat gluten",4,6,6.136.987
988,5922,Albuminoid substances; glues,4,6,6.136.988
989,5981,Woods and resin-based chemical products,4,6,6.136.989
990,5982,"Anti-knock preparation, anti-corrosive; viscosity improvers; etc",4,6,6.136.990
991,5983,"Organic chemical products, nes",4,6,6.136.991
992,5989,"Chemical products and preparations, nes",4,6,6.136.992
993,6112,"Composition leather, in slabs, sheets or rolls",4,7,7.137.993
994,6113,Calf leather,4,7,7.137.994
995,6114,Leather of other bovine cattle and equine leather,4,7,7.137.995
996,6115,Sheep and lamb skin leather,4,7,7.137.996
997,6116,Leather of other hides or skins,4,7,7.137.997
998,6118,"Leather, specially dressed or finished, nes",4,7,7.137.998
999,6121,"Articles of leather use in machinery or mechanical appliances, etc",4,7,7.137.999
1000,6122,"Saddlery and harness, of any material, for any kind of animal",4,7,7.137.1000
1001,6123,Parts of footwear of any material except metal and asbestos,4,7,7.137.1001
1002,6129,Other articles of leather or of composition leather,4,7,7.137.1002
1003,6130,"Furskins, tanned or dressed; pieces of furskin, tanned or dressed",4,7,7.137.1003
1004,6210,Materials of rubber,4,7,7.138.1004
1005,6251,"Tires, pneumatic, new, for motor cars",4,7,7.138.1005
1006,6252,"Tires, pneumatic, new, for buses and lorries",4,7,7.138.1006
1007,6253,"Tires, pneumatic, new, for aircraft",4,7,7.138.1007
1008,6254,"Tires, pneumatic, new, for motorcycles and bicycles",4,7,7.138.1008
1009,6259,"Other tires, tire cases, tire flaps and inner tubes, etc",4,7,7.138.1009
1010,6281,"Hygienic, pharmaceutical articles of unhardened vulcanized rubber",4,7,7.138.1010
1011,6282,"Transmission, conveyor or elevator belts, of vulcanized rubber",4,7,7.138.1011
1012,6289,"Other articles of rubber, nes",4,7,7.138.1012
1013,6330,Cork manufactures,4,7,7.139.1013
